,UF,REGIAO,SEXO,IDADE,COR,ALFABETIZADO,ESCOLA_CRECHE,CURSO,APOSENTADO,APOSENTADORIA,VALOR_APOSENTADORIA,PEA,SAL_MIN,HORAS_TRABALHO,REND_MEN_TOT,SIT_CENSITARIA,ANOS_ESTUDO
2016,11,Norte,2,72,2,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,5
2017,11,Norte,4,66,2,3,4,,2.0,1.0,724.0,2.0,0,,724.0,1,1
2024,11,Norte,2,72,8,1,4,,2.0,1.0,724.0,1.0,0,1.0,1024.0,1,4
2038,11,Norte,4,29,8,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,10
2082,11,Norte,2,63,2,1,4,,2.0,1.0,999999999999.0,2.0,0,,999999999999.0,1,6
2083,11,Norte,4,65,8,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,3
2099,11,Norte,2,66,2,1,4,,2.0,1.0,724.0,1.0,0,2.0,999999999999.0,2,3
2100,11,Norte,4,57,8,1,4,,2.0,1.0,724.0,1.0,0,1.0,724.0,2,4
2112,11,Norte,4,79,8,3,4,,2.0,1.0,724.0,2.0,0,,1448.0,2,1
2114,11,Norte,2,71,4,3,4,,2.0,1.0,724.0,1.0,0,1.0,724.0,2,1
2115,11,Norte,4,71,8,3,4,,2.0,1.0,724.0,2.0,0,,724.0,2,1
2159,11,Norte,2,67,8,3,4,,2.0,1.0,724.0,2.0,0,,724.0,2,1
2160,11,Norte,4,66,8,3,4,,2.0,1.0,724.0,2.0,0,,724.0,2,1
2166,11,Norte,4,66,2,1,4,,2.0,1.0,724.0,2.0,0,,724.0,2,1
2173,11,Norte,2,76,8,3,4,,2.0,1.0,724.0,2.0,0,,724.0,2,1
2175,11,Norte,4,41,8,1,4,,2.0,1.0,724.0,2.0,0,,724.0,2,5
2180,11,Norte,2,67,8,1,4,,2.0,1.0,724.0,2.0,0,,724.0,2,5
2181,11,Norte,4,82,8,1,4,,2.0,1.0,724.0,2.0,0,,724.0,2,6
2183,11,Norte,4,66,8,1,4,,2.0,1.0,3500.0,2.0,0,,3500.0,1,10
2190,11,Norte,2,62,2,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,5
2195,11,Norte,2,77,2,3,4,,2.0,1.0,724.0,2.0,0,,724.0,1,1
2197,11,Norte,4,70,2,3,4,,2.0,1.0,724.0,2.0,0,,724.0,1,1
2206,11,Norte,2,75,8,3,4,,2.0,1.0,724.0,2.0,0,,724.0,1,1
2207,11,Norte,2,70,8,3,4,,2.0,1.0,724.0,2.0,0,,724.0,1,1
2208,11,Norte,4,68,8,3,4,,2.0,1.0,724.0,2.0,0,,724.0,1,1
2239,11,Norte,4,56,2,1,4,,2.0,1.0,3000.0,2.0,0,,3000.0,1,16
2241,11,Norte,2,72,8,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,6
2242,11,Norte,4,70,4,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,6
2251,11,Norte,2,69,4,3,4,,2.0,1.0,724.0,2.0,0,,724.0,1,1
2252,11,Norte,4,68,8,3,4,,2.0,1.0,724.0,2.0,0,,724.0,1,1
2271,11,Norte,2,59,8,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,1
2272,11,Norte,4,57,8,3,4,,2.0,1.0,724.0,2.0,0,,724.0,1,1
2276,11,Norte,2,61,4,1,4,,2.0,1.0,3000.0,2.0,0,,3000.0,1,12
2342,11,Norte,2,73,2,1,4,,2.0,1.0,724.0,1.0,0,1.0,1524.0,8,5
2343,11,Norte,4,55,4,1,4,,2.0,1.0,710.0,1.0,0,1.0,710.0,8,3
2384,11,Norte,2,78,2,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,7
2399,11,Norte,2,49,2,1,4,,2.0,1.0,9000.0,1.0,0,3.0,9724.0,1,9
2412,11,Norte,4,66,2,1,4,,2.0,1.0,3400.0,2.0,0,,3400.0,1,9
2413,11,Norte,2,53,0,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,9
2459,11,Norte,4,72,2,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,1
2484,11,Norte,2,74,8,1,4,,2.0,1.0,999999999999.0,2.0,0,,999999999999.0,1,3
2501,11,Norte,2,78,2,3,4,,2.0,1.0,724.0,2.0,0,,724.0,1,1
2502,11,Norte,4,79,2,3,4,,2.0,1.0,724.0,2.0,0,,724.0,1,1
2509,11,Norte,4,76,8,3,4,,2.0,1.0,724.0,2.0,0,,724.0,8,1
2510,11,Norte,2,75,8,3,4,,2.0,1.0,724.0,2.0,0,,724.0,8,1
2515,11,Norte,4,72,2,1,4,,2.0,1.0,2000.0,2.0,0,,2000.0,8,12
2516,11,Norte,2,73,8,3,4,,2.0,1.0,724.0,2.0,0,,724.0,8,1
2527,11,Norte,2,68,2,3,4,,2.0,1.0,724.0,2.0,0,,724.0,8,1
2528,11,Norte,4,60,2,3,4,,2.0,1.0,724.0,2.0,0,,724.0,8,1
2544,11,Norte,2,59,8,1,4,,2.0,1.0,724.0,1.0,0,3.0,1924.0,8,5
2548,11,Norte,4,55,2,1,4,,2.0,1.0,724.0,1.0,0,1.0,724.0,8,3
2560,11,Norte,2,68,8,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,5
2564,11,Norte,4,57,4,1,4,,2.0,1.0,724.0,2.0,0,,843.0,1,9
2572,11,Norte,2,53,8,1,4,,2.0,1.0,900.0,2.0,0,,3400.0,1,5
2581,11,Norte,2,68,2,3,4,,2.0,1.0,1300.0,2.0,0,,1300.0,1,1
2588,11,Norte,2,68,8,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,5
2589,11,Norte,4,72,8,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,2
2610,11,Norte,4,52,2,1,4,,2.0,1.0,724.0,2.0,0,,1448.0,1,7
2618,11,Norte,2,71,8,1,4,,2.0,1.0,724.0,1.0,0,4.0,2024.0,1,6
2649,11,Norte,2,22,8,1,4,,2.0,1.0,999999999999.0,1.0,0,3.0,999999999999.0,1,7
2725,11,Norte,2,78,8,3,4,,2.0,1.0,724.0,2.0,0,,724.0,1,1
2726,11,Norte,4,57,8,3,4,,2.0,1.0,724.0,2.0,0,,1448.0,1,2
2748,11,Norte,2,62,2,3,4,,2.0,1.0,724.0,1.0,0,2.0,1474.0,8,1
2749,11,Norte,4,62,2,1,4,,2.0,1.0,724.0,2.0,0,,724.0,8,9
2766,11,Norte,2,72,4,1,4,,2.0,1.0,724.0,1.0,0,3.0,724.0,8,5
2767,11,Norte,4,67,8,3,4,,2.0,1.0,724.0,2.0,0,,724.0,8,1
2778,11,Norte,2,58,8,1,4,,2.0,1.0,725.0,2.0,0,,725.0,1,2
2805,11,Norte,2,72,2,1,4,,2.0,1.0,725.0,2.0,0,,725.0,1,5
2806,11,Norte,4,71,4,1,4,,2.0,1.0,725.0,2.0,0,,725.0,1,3
2858,11,Norte,2,69,2,3,4,,2.0,1.0,724.0,2.0,0,,724.0,1,1
2918,11,Norte,2,78,8,3,4,,2.0,1.0,724.0,2.0,0,,724.0,8,1
2936,11,Norte,4,57,8,3,4,,2.0,1.0,1400.0,2.0,0,,1400.0,8,1
2965,11,Norte,4,61,8,1,4,,2.0,1.0,724.0,2.0,0,,724.0,8,4
2966,11,Norte,4,62,4,1,4,,2.0,1.0,724.0,1.0,0,5.0,4724.0,8,1
2982,11,Norte,2,38,2,1,4,,2.0,1.0,724.0,1.0,0,3.0,1724.0,8,2
2989,11,Norte,4,76,8,1,4,,2.0,1.0,1000.0,2.0,0,,1000.0,1,1
2990,11,Norte,4,55,8,1,4,,2.0,1.0,2500.0,2.0,0,,2500.0,1,16
2995,11,Norte,4,64,8,1,4,,2.0,1.0,724.0,1.0,0,2.0,1724.0,1,1
3006,11,Norte,4,47,2,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,12
3008,11,Norte,4,62,8,1,4,,2.0,1.0,2000.0,2.0,0,,2000.0,1,16
3015,11,Norte,4,68,8,1,4,,2.0,1.0,3500.0,2.0,0,,3500.0,1,16
3034,11,Norte,2,82,2,1,4,,2.0,1.0,2500.0,2.0,0,,2500.0,1,16
3035,11,Norte,4,71,8,1,4,,2.0,1.0,4000.0,2.0,0,,4000.0,1,16
3056,11,Norte,4,84,8,1,4,,2.0,1.0,725.0,2.0,0,,725.0,1,12
3081,11,Norte,4,65,2,1,4,,2.0,1.0,1280.0,2.0,0,,1280.0,1,4
3097,11,Norte,2,65,8,3,4,,2.0,1.0,724.0,2.0,0,,724.0,1,1
3125,11,Norte,4,65,8,1,4,,2.0,1.0,2200.0,2.0,0,,2924.0,1,12
3145,11,Norte,4,59,2,1,4,,2.0,1.0,5000.0,2.0,0,,5000.0,1,16
3156,11,Norte,4,74,4,1,4,,2.0,1.0,700.0,2.0,0,,3500.0,1,1
3164,11,Norte,2,29,8,1,2,2.0,2.0,1.0,1100.0,2.0,0,,1100.0,1,11
3182,11,Norte,2,98,8,1,4,,2.0,1.0,724.0,1.0,0,5.0,1004.0,1,1
3191,11,Norte,4,77,2,3,4,,2.0,1.0,724.0,2.0,0,,1448.0,1,1
3196,11,Norte,2,65,8,1,4,,2.0,1.0,724.0,1.0,0,3.0,1524.0,1,6
3212,11,Norte,4,70,8,3,4,,2.0,1.0,1500.0,2.0,0,,1500.0,1,1
3241,11,Norte,2,71,8,1,4,,2.0,1.0,2500.0,2.0,0,,2500.0,1,5
3251,11,Norte,4,78,2,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,5
3259,11,Norte,4,78,2,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,3
3273,11,Norte,2,72,2,1,4,,2.0,1.0,5000.0,2.0,0,,5000.0,1,16
3274,11,Norte,4,71,2,1,4,,2.0,1.0,725.0,2.0,0,,725.0,1,12
3294,11,Norte,4,62,8,1,4,,2.0,1.0,3500.0,2.0,0,,3500.0,1,16
3301,11,Norte,2,73,8,3,4,,2.0,1.0,724.0,2.0,0,,724.0,1,1
3302,11,Norte,4,84,2,3,4,,2.0,1.0,800.0,2.0,0,,800.0,1,1
3304,11,Norte,2,62,8,1,4,,2.0,1.0,1400.0,2.0,0,,1400.0,1,12
3307,11,Norte,2,87,8,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,3
3309,11,Norte,2,51,8,1,4,,2.0,1.0,724.0,2.0,0,,1448.0,1,5
3350,11,Norte,4,81,2,1,4,,2.0,1.0,3200.0,2.0,0,,11200.0,1,16
3365,11,Norte,2,69,8,1,4,,2.0,1.0,724.0,1.0,0,3.0,5724.0,1,12
3376,11,Norte,4,83,2,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,5
3406,11,Norte,2,60,4,1,4,,2.0,1.0,3000.0,2.0,0,,3000.0,1,12
3447,11,Norte,2,56,2,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,9
3466,11,Norte,4,60,8,1,4,,2.0,1.0,720.0,2.0,0,,720.0,1,7
3484,11,Norte,4,65,8,1,4,,2.0,1.0,724.0,2.0,0,,1448.0,1,4
3504,11,Norte,2,61,8,1,4,,2.0,1.0,1400.0,2.0,0,,1400.0,1,8
